id,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
327.0,0.0746180167885,0.115824785493,0.0746299462237,0.000919647989992,-0.0282963574895,0.0426547299432,-0.0230025265924,0.106754392979,0.0237401596843,0.0673806749249,-0.0495163814778,0.0140275212377,0.0537358068018,0.0665979830628,0.0534427370137,-0.0380457530361,-0.0492019202853
328.0,0.10401409311,0.0726456354754,0.105103047776,0.046039993209,0.136004822249,0.171544619432,0.10194030645,0.159352596981,0.147118605182,0.222331781291,0.172343070022,0.199676956605,0.127463881465,0.163659665246,0.0588912329508,0.176337553395,0.0625395776729
329.0,0.0594983812568,0.0476734970428,0.0793995008511,0.101384757797,0.126681638631,0.101880081733,0.0914045100617,0.0542739261678,0.0717346113247,0.142331172593,0.119529923039,0.135019572548,0.0598083470163,0.112915037683,0.0915020486903,0.106071537338,0.0510689776368
330.0,-0.0291684150733,0.105316347835,-0.0292177056798,0.0519432767946,-0.00332668025913,0.00481451765309,0.0111721458781,0.0471085721825,0.0285980771364,0.0103287361242,0.0138262968194,0.0111436038,0.0121610620501,0.00778179455023,0.0236724314787,-0.00864599646543,-0.0953352279347
331.0,-0.0251227226227,0.101094049206,-0.0461122821635,0.115908570641,0.120502440853,0.131715944869,0.165767516876,0.126744887411,0.245865315403,0.224605923131,0.140231561072,0.163571356602,0.120745518137,0.115211236699,0.0843709583624,0.159830062436,0.0713995441038
332.0,-0.0157720303538,-0.00874543660803,0.00797947149789,0.0620890127662,0.0492081746127,0.0743679314336,0.0679600336427,0.062715731643,0.105579133352,0.118591901912,0.0876463750912,0.0929801750147,0.0785427050048,0.0768811305239,0.0869998229645,0.0738134166279,0.0636905726526
333.0,-0.00976218989443,-0.0109133398162,0.105894564204,0.102706779362,0.0259276110301,0.0318305086224,0.0682317751753,0.0142796136118,0.121381400464,0.163502628869,0.0998779109141,0.0298520832465,0.102627171917,0.0422025475829,0.102725317675,0.0822348501911,-0.0199736443614
334.0,0.295681205715,0.287136697993,0.315406402973,0.295481508033,0.256825100439,0.28295467686,0.282404844702,0.291740635998,0.29872978637,0.298115538642,0.253751014122,0.298946634362,0.307126252857,0.287931291546,0.299905629601,0.277210027726,0.224655540777
335.0,0.056497182603,0.0804469008701,0.0593016980965,0.0652521260696,0.083665435105,0.0826603143804,0.148026731798,0.107483717437,0.0865573027454,0.100266296183,0.23981045214,0.0902252399403,0.0771726718595,0.0680045384382,0.107378738639,0.103017125013,0.360027924995
336.0,0.103357642296,0.241223992341,0.104325711626,0.149349222779,0.114816302722,0.153853907796,0.167217916932,0.238598386732,0.138087152436,0.135101888819,0.177477491154,0.122499205664,0.21638106656,0.164866283705,0.15263474117,0.104661802171,0.0743413734468
337.0,0.135045506373,0.187749777344,0.130304409157,0.0592740036648,0.0518650277031,0.105046592343,0.0692062044387,0.153936094676,0.152642543543,0.137791544422,0.189767392306,0.168445648323,0.109745960176,0.135677376067,0.154360183701,0.125312985624,0.0633665962759
338.0,0.109964309317,0.176411754477,0.146092280208,0.16350885018,0.143616623775,0.125293019167,0.147055151045,0.140750075009,0.14285701814,0.170770238504,0.144333724541,0.148324125572,0.175414260159,0.164258349244,0.217861314423,0.14753236268,0.166247689813
339.0,0.0651243948013,0.120257856024,0.0874328749105,0.128726637434,0.0863904601447,0.121743333003,0.0827667540563,0.0983865322175,0.080321914883,0.122914521552,-0.0117946603305,0.085634961417,0.0807538976117,0.100958179702,0.119480714825,0.0863167463319,0.0444127832349
340.0,0.0274752396307,0.072551635234,0.0113161833717,0.0984056547314,0.152333149007,0.0991739787658,0.19869206606,0.148250350652,0.151612700184,0.20053320775,0.107143156908,0.215956865672,0.246714749359,0.24729597052,0.217029464673,0.193349845255,0.251336388533
341.0,0.141104483491,-0.0426186926407,0.0729034494458,0.0696507820611,-0.0238744725927,-0.0293222515003,0.000244017779971,0.110251220353,0.0483644878168,0.0186223753422,0.0809600592586,0.0779238422066,0.00525753751743,0.137592135612,-0.0353653936627,0.103838703028,0.291852809214
342.0,0.126993592625,0.0746989268017,0.128708644714,0.0573580077613,0.132531333215,0.184993455833,0.0729466443299,0.174646361073,0.177673319995,0.205485496714,0.141681900341,0.230798720894,0.11977526354,0.143240494766,0.000637708847878,0.174544781183,0.0263291817833
343.0,0.00743089330711,0.114283805483,0.0567553161242,0.0410985123605,0.0817138198462,0.124924104936,0.0407632738507,0.0402637228008,0.0702572426511,0.058410535591,0.0731839694779,0.0724372591416,0.00156243883342,0.0194588785848,0.0363695963955,0.0384476742144,-0.00617680214067
344.0,-0.076945040375,-0.0566600784659,0.00669693620875,0.00457377188529,-0.0708617027073,-0.0101305014299,-0.0899821482599,0.0901130462686,0.175418820232,-0.0547493407503,0.338723982374,-0.0879433912536,-0.0583680074196,0.0188574735075,-0.0131314578466,-0.080678422392,0.179284915328
345.0,0.00953873894017,0.1389853041,0.0972312646642,0.0505585599053,-0.000811746868104,0.0841174598812,0.0447312877763,0.0311215164977,0.0218111841899,0.0398582812517,-0.0191943336407,0.0499675325971,0.05505458606,0.0801147531947,0.0974827415853,-0.0332110773061,-0.0126670908772
346.0,0.108628207682,0.111331204056,0.109381104571,0.0859400184309,0.0766425460501,0.124641890399,0.171967495225,0.0805095320777,0.0885325653543,0.107596003381,0.101163527043,0.119946238674,0.0827049257002,0.0921429040009,0.0890710346029,0.125171399047,0.234491905602
347.0,-0.00571515485781,0.0675797469205,0.0248931677632,0.0221541402543,-0.0152701312809,0.00173802492427,-0.00120087936983,-0.0187321492083,0.0337743095121,0.0648904970904,-0.0252131055942,0.0214825134077,0.04430576987,0.0292737725226,0.0562030134191,-0.0186438010935,-0.0305215483453
348.0,0.29074623602,-0.0850524638079,0.174174314933,0.162083931356,0.0748942025044,0.0200756653795,0.0324217325654,0.327007713377,0.192628255578,0.0949861127329,0.220479980138,0.312832493795,0.118193712919,0.287597262198,-0.0220335445665,0.173507119433,0.291613819942
349.0,0.332016021275,0.334584570959,0.336754181894,0.310999149374,0.300976674242,0.324980484023,0.294506201354,0.299692159339,0.2435948745,0.320034022912,0.312741311348,0.31631426373,0.304796920986,0.342813597003,0.370451311098,0.322627113376,0.257889109022
